,blockNumber,erc20CoinTotalSupply,globalDebt,timestamp,hourlyredemptionPriceActual,hourlyredemptionRateActual,hourlymarketPriceEth,hourlymarketPriceUsd,activeLiquidations,currentFsmUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price,coinAddress,coinUniswapPair,currentCoinMedianizerUpdate,debtAvailableToSettle,globalDebtCeiling,systemSurplus,totalActiveSafeCount,wethAddress,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH)
14,11866457,6254.514977346455,8005.042009675195,1613460296,3.14,1.0,0.0038716734826445137,6.957607356404897,0,{'value': '1805.76'},10000000,1,1.019999999999999999972831879,34.36697488721813454,1805.76,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '813.968197826446049584', 'reserve1': '3.151419087240594731'}",{'value': '3.687304965204464174'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7661908161964296350666365039205,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,813.968197826446
15,11867211,6254.514977346455,8005.063097217344,1613470255,3.14,1.0,0.00396186284011276,7.138834472759815,0,{'value': '1798.10363364'},10000000,1,1.019999999999999999972831879,34.36697488721813454,1798.10363364,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '804.93605529227666153', 'reserve1': '3.189046246129420508'}",{'value': '4.554163419544886707'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7661908161964296350666365039205,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,804.9360552922767
16,11867546,6254.514977346455,8005.122181865876,1613474986,3.1399999311948696,0.9999999745450587,0.00396186284011276,7.082569060229576,0,{'value': '1802.02'},10000000,1,1.019999999999999999972831879,38.36697488721813454,1802.02,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '804.93605529227666153', 'reserve1': '3.189046246129420508'}",{'value': '4.554163419544886707'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7992091849258467262153965939525,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997770395713769,0.9999999745450587,0.9999997963604883,3.1399999311948696,804.9360552922767
17,11868417,7054.514977346455,8805.005527286892,1613486217,3.1399996914093347,0.9999999745450587,0.0017024558721407798,3.0264526670956706,0,{'value': '1800.653868'},10000000,1,1.019999999999999999972831879,38.36697488721813454,1800.653868,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1229.182724757063119327', 'reserve1': '2.092629347696666043'}",{'value': '4.777033014957203718'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.7992091849258467262153965939525,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997419058914843,0.9999999705334,0.9999997642672237,3.139999652888234,1229.1827247570632
18,11868781,7054.514977346455,8805.197375673335,1613491017,3.139999604800876,0.9999999705334,0.001728729570189386,3.0818602204360337,0,{'value': '1793.4'},10000000,1,1.019999999999999999972831879,40.36697488721813454,1793.4,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1220.790096754033991297', 'reserve1': '2.11041593925306011'}",{'value': '4.777033014957203718'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.8392686401972962818519775315787,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997419058914843,0.9999999705334,0.9999997642672237,3.139999604800876,1220.790096754034
19,11868901,7314.514977346455,9065.213010102432,1613492473,3.139999511838839,0.9999999705334,0.0022590300135853563,3.9984831240460807,0,{'value': '1777.69815748'},10000000,1,1.019999999999999999972831879,41.56697488721813454,1777.69815748,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1068.858399240926274166', 'reserve1': '2.414583204158051802'}",{'value': '4.777033014957203718'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.8430258772844321877892841787961,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997419058914843,0.9999999705334,0.9999997642672237,3.139999511838839,1068.8583992409262
20,11869538,8004.515018562104,8953.051932771312,1613500967,3.139999324192779,0.9999999705334,0.002879566488131024,5.029708047001165,0,{'value': '1758.80410151'},10000000,1,1.019999999999999999972831879,42.66697488721813454,1758.80410151,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '948.881222394298059493', 'reserve1': '2.732366569223422102'}",{'value': '4.982603331714175189'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.8477040702876190987481216920617,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9997419058914843,0.9999999705334,0.9999997642672237,3.139999324192779,948.8812223942981
21,11869788,8004.515018562104,8952.96768737707,1613504419,3.1399992293961545,0.9999999668331275,0.002879566488131024,5.0724278017015525,0,{'value': '1758.16865616'},10000000,1,1.019999999999999999972831879,52.66697488721813454,1758.16865616,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '948.881222394298059493', 'reserve1': '2.732366569223422102'}",{'value': '4.982603331714175189'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.8737677218308615894326598409466,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999709500395317,0.9999999668331275,0.9999997346650509,3.1399992293961545,948.8812223942981
22,11870612,9054.515018562104,10003.034176022644,1613515471,3.1399989158939343,0.9999999668331275,0.0025988926408264668,4.576731478776856,0,{'value': '1747.76'},10000000,1,1.019999999999999999972831879,52.66697488721813454,1747.76,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '998.881222394298059493', 'reserve1': '2.595985057940286682'}",{'value': '4.982603331714175189'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.9055418501777201416053322163682,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999709500395317,0.9999999668331275,0.9999997346650509,3.1399989158939343,998.8812223942981
23,11870767,9254.515018562104,10203.072145912165,1613517580,3.13999881022655,0.999999961884182,0.002690113310514827,4.773895623728501,0,{'value': '1747.76'},10000000,1,1.019999999999999999972831879,52.80335639850126996,1747.76,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '982.090377643433558349', 'reserve1': '2.641934397027133898'}",{'value': '5.257544310613333265'},846.1745167717419600463715557405962,115792089237316195423570985008687.9,101.9117376113529503007951155702411,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9996661611653415,0.999999961884182,0.9999996950734974,3.13999881022655,982.0903776434336
