date,CDP opened,Mean of CDP values (in ETH),Median of CDP values (in ETH),ETH Price,DAI Price,Collateralization Ratio,DAI Transaction Volume,ETH Transaction Volume,DAI Velocity,ETH Velocity,DAI NVT based on trx volume,ETH NVT based on trx volume,DAI ClosePrice,DAI HighPrice,DAI LowPrice,DAI OpenPrice,ETH ClosePrice,ETH HighPrice,ETH LowPrice,ETH OpenPrice,Amount of Bites,"Volume of Bites, DAI",DAI Exchange Flow,ETH Exchange Flow,Stability Fee
2018-01-04,10,360.350860595703,11.7085151672363,981.240236111111,1.01987076622235,4.03347160851608,5438153.9567922,21061282.3978174,3.97108010670935,11.010103885099,5.68088127935073,50.6883495261013,1.00839,1.0237,0.972775,0.997557,980.922,1045.08,946.086,961.713,0,0,0.997936760416667,981.240236111111,0.5
2018-01-05,3,353.788024902344,11.4170303344727,1017.88493055556,1.03199188579953,4.18256856544796,4619528.19488431,19308099.2848622,3.62532672833561,12.2388457964668,6.0085114998826,61.4749432556943,0.992699,1.01604,0.954866,1.00691,997.72,1075.39,956.325,975.75,0,0,0.99797371875,1017.88493055556,0.5
2018-01-06,10,348.175201416016,10.497820854187,1029.47449305556,1.03250774836282,4.10953747308079,1833804.11611243,15908170.8541925,2.04465322248354,11.6206854030831,8.94254052167588,70.8602540879339,1.00176,1.00996,0.987975,0.997491,1041.68,1060.71,994.622,995.154,0,0,0.999406996527777,1029.47449305556,0.5
2018-01-07,10,346.989135742187,10.957426071167,1111.20138888889,1.04319496467985,4.29784488733345,4391303.58315428,12767422.3388971,4.26423509525854,8.02536212615806,7.93659226395118,60.9884302002386,0.990644,1.03398,0.945163,1.00111,1153.17,1153.17,1043.01,1043.01,0,0,1.00154609027778,1111.20138888889,0.5
2018-01-08,2,342.628875732422,10.8585147857666,1165.89135416667,1.04781575658765,4.52464908251313,6123768.54361419,16082097.6616637,3.58300521049727,8.10809117717786,4.86825711850678,48.9276350026078,0.997669,1.03265,0.959237,0.998917,1148.53,1266.93,1016.05,1158.26,0,0,1.00197519444444,1165.89135416667,0.5
2018-01-09,2,343.81494140625,10.8585147857666,1220.30635416667,1.01054043264116,4.97701420982471,4675446.25699823,16824597.3528138,7.7063237544429,8.0841788118648,13.7304649528814,46.64040751086,0.998594,1.01059,0.95361,0.99366,1299.74,1320.98,1145.49,1146,0,0,0.998513670138888,1220.30635416667,0.5
2018-01-10,2,338.819091796875,11.7085151672363,1325.03993055556,1.02411563363583,5.14326187416958,3393405.70439736,18167106.2174277,6.45071040533296,9.75210932160798,15.8489662420764,52.11685985879,0.934961,1.03891,0.743216,0.999151,1255.82,1417.38,1226.6,1300.34,0,0,0.982739527777777,1325.03993055556,0.5
2018-01-11,6,328.545532226562,12,1225.62125,1.01439929294294,4.77904542726775,9666485.9243673,16359780.9738664,18.3435436760906,9.04233357481409,15.8988143707224,53.6738258600493,1.00474,1.02813,0.720637,0.778917,1154.93,1337.3,1135.17,1268.09,0,0,0.978255628472222,1225.62125,0.5
2018-01-12,8,313.945953369141,11.7085151672363,1232.64506944444,0.998653664253024,4.48777503599926,8957183.02378446,12949176.6242878,8.06550096003759,7.74149971781792,8.18195750115119,58.0679035185302,0.99674,1.06011,0.964405,1.01219,1273.2,1296.04,1120.09,1158.29,0,0,0.998230406250001,1232.64506944444,0.5
2018-01-13,2,315.607360839844,13.8004999160767,1353.37819444444,1.01072120288635,4.67395040065447,10019376.3011487,9898582.53753657,12.5792771290193,6.97417656098143,11.5725604961973,68.4487636015976,1.01809,1.03609,0.988338,0.996631,1396.42,1432.88,1270.47,1270.47,0,0,1.00513315625,1353.37819444444,0.5
