date,rho_star,beta,p,Q,v_1,v_2 + v_3,u_1,u_2 + u_3,u_2,w_2,u_3,w_3,w_2 + w_3,D_1,D_2,w_1,D,C_star,p_star,p_ema_10,p_hat_1,p_hat_2,p_hat_3,rho_star_pct_change,beta_pct_change,p_pct_change,Q_pct_change,v_1_pct_change,v_2 + v_3_pct_change,u_1_pct_change,u_2 + u_3_pct_change,u_2_pct_change,w_2_pct_change,u_3_pct_change,w_3_pct_change,w_2 + w_3_pct_change,D_1_pct_change,D_2_pct_change,w_1_pct_change,D_pct_change,C_star_pct_change,p_star_pct_change,p_ema_10_pct_change,p_hat_1_pct_change,p_hat_2_pct_change,p_hat_3_pct_change,rho_star_delta,beta_delta,p_delta,Q_delta,v_1_delta,v_2 + v_3_delta,u_1_delta,u_2 + u_3_delta,u_2_delta,w_2_delta,u_3_delta,w_3_delta,w_2 + w_3_delta,D_1_delta,D_2_delta,w_1_delta,D_delta,C_star_delta,p_star_delta,p_ema_10_delta,p_hat_1_delta,p_hat_2_delta,p_hat_3_delta
2017-12-18,736.004090277778,0.005,1.01760484160946,2425.6619999999994,2526.6619999999994,101.0,595342.0268693233,45.94383999,10.0,6.276475655352884e-06,35.94383999,2.2560063665713446e-05,2.883653932106633e-05,595296.0830293334,0.0,0.0,595296.0830293334,1785297.1536313752,1,1.0085725386518791,,1.0,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-19,832.236972222222,0.005,1.0033764853070302,6240.431313943119,3821.3203087684715,6.5509948253524755,1379831.7499999998,35394.48297973333,35367.48297973334,0.45588541595629206,26.999999999992724,0.00034802890095034336,0.45623344485724243,1939733.3500495998,26.049428753934585,26.50566219879183,1939759.3994783538,5193517.662076764,1,1.0085725386518791,130836.66980338679,-0.7570427703011271,0.8927911358434614,0.1307504716558361,0.0,-0.01398220185344845,1.5726714249318827,0.5123986939165082,-0.93513866509552,1.3177126554562402,769.3858229402938,3535.7482979733336,72632.98139168926,-0.24882817173945682,14.426769450091319,15820.366072313134,2.25843459304942,inf,inf,2.2584783518267693,1.909049427157218,0.0,0.0,,-1.757042770301127,-0.10720886415653852,96.23288194444399,0.0,-0.014228356302429912,3814.7693139431194,1294.6583087684721,-94.44900517464752,784489.7231306764,35348.53913974333,35357.48297973334,0.4558791394806367,-8.943839990007277,0.0003254688372846299,0.45620460831792137,1344437.2670202665,26.049428753934585,26.50566219879183,1344463.3164490205,3408220.5084453886,0.0,0.0,,-1.757042770301127,-0.10720886415653852
2017-12-20,810.287506944444,0.005,1.01297235482996,14183.070621067143,8066.895210336012,124.25590321198437,2676383.0,502251.75,501412.75,0.178879210015564,839.0,0.00029931360381852713,0.17917852361938252,4113864.6000495995,82.0848819347468,56.2146317044316,4113946.6849315343,11492364.934361482,1,1.0085725386518791,118256.46272411913,-1.3595783137177477,0.9315227852946207,-0.026374056921755096,0.0,0.00956357824151488,1.2727708883483149,1.1110230387715907,17.96748608793151,0.939644453028422,13.190114043693939,13.177224607341298,-0.6076224337198055,30.074074074082446,-0.1399748612796008,-0.6072656977713496,1.1208402690732755,2.151120230317851,1.1208536984597184,1.1208541049152125,1.2128286995689082,0.0,0.0,-0.09615199697586618,0.795906872179694,0.04338265457190915,-21.949465277778017,0.0,0.0095958695229299,7942.6393071240245,4245.57490156754,117.7049083866319,1296551.2500000002,466857.2670202667,466045.2670202667,-0.27700620594072806,812.0000000000073,-4.871529713181623e-05,-0.2770549212378599,2174131.25,56.03545318081222,29.708969505639775,2174187.285453181,6298847.272284718,0.0,0.0,-12580.207079267653,-0.6025355434166206,0.03873164945115937
2017-12-21,837.2310798611121,0.005,1.02573762618401,15644.732690357643,1471.7420692904998,10.080000000000041,805355.0,49782.711992200006,49782.711992200006,1.158909099970081,0.0,0.0,1.158909099970081,4869436.8880574005,147.46595626293058,66.53998342815386,4869584.354013664,13098256.444486571,1,1.0085725386518791,76715.7354656439,-1.323227938869957,0.8969635564316341,0.03325186762198906,0.0,0.012601796379914765,0.10305681388340449,-0.8175578049650657,-0.9188770936475891,-0.6990882844495725,-0.9008809586184617,-0.900715105485052,5.478724385406477,-1.0,-1.0,5.467901825287262,0.1836648410836592,0.7965056754319062,0.1836772991418223,0.18367706899310599,0.13973551303818854,0.0,0.0,-0.35127659242933496,-0.026736506813197947,-0.03709971393996159,26.94357291666813,0.0,0.012765271354050034,1461.6620692904999,-6595.153141045512,-114.17590321198433,-1871028.0,-452469.0380078,-451630.0380078,0.980029889954517,-839.0,-0.00029931360381852713,0.9797305763506985,755572.2880078009,65.38107432818377,10.325351723722257,755637.6690821294,1605891.5101250894,0.0,0.0,-41540.727258475235,0.03635037484779069,-0.03455922886298668
2017-12-22,689.014989583333,0.005,0.9722280073382281,18830.844186294788,5316.960480503129,2130.8489845659874,314551.190340898,747453.1276870223,723915.3096870225,19.756468105964842,23537.817999999854,0.6423736925829774,20.39884179854782,4436534.950711275,187.69256353267977,60.625449068297016,4436722.643274808,12974733.91086527,1,1.0085725386518791,59615.770314126836,-1.5220694052858699,0.9752176788928019,-0.17703128066192508,0.0,-0.05216696500142104,0.20365394276764137,2.612698577724519,210.3937484688471,-0.6094254206643058,14.014311148901125,13.541500065332842,16.04746999266369,inf,inf,16.601761690433225,-0.08890184785182131,0.272785721458487,-0.08888692264618647,-0.08889089484240631,-0.009430456194289616,0.0,0.0,-0.22290036128474644,0.15027000305459426,0.08724336891956241,-148.21609027777913,0.0,-0.05350961884578198,3186.1114959371444,3845.218411212629,2120.7689845659875,-490803.809659102,697670.4156948223,674132.5976948225,18.59755900599476,23537.817999999854,0.6423736925829774,19.23993269857774,-432901.937346125,40.226607269749195,-5.9145343598568445,-432861.7107388554,-123522.53362130187,0.0,0.0,-17099.965151517063,-0.19884146641591283,0.07825412246116781
2017-12-23,729.755027777778,0.005,1.0111995589034901,20658.696171968317,2065.882731706337,238.03074603280584,819453.8169999998,60553.167340897955,60526.68734089801,0.6717606164084441,26.479999999944994,0.00029389054488100343,0.6720545069533251,5195435.600370377,258.01657449583826,70.99606547011179,5195693.616944873,15075787.398827415,1,1.0085725386518791,51510.218950722534,-1.5580592756599847,0.9676299707608547,0.05912794178698744,0.0,0.040084785946414625,0.0970669167877165,-0.611454187165437,-0.8882930006974248,1.605152490797789,-0.9189873383388221,-0.9163898227721332,-0.9659979398744036,-0.9988750019224405,-0.9995424928693776,-0.9670542811405514,0.1710570655005057,0.37467659687494304,0.17106044674624776,0.17106567948765372,0.16193422557997028,0.0,0.0,-0.13596320773336668,0.023645354311129685,-0.007780527666973569,40.74003819444499,0.0,0.038971551565262,1827.8519856735293,-3251.0777487967916,-1892.8182385331816,504902.6266591018,-686899.9603461244,-663388.6223461245,-19.084707489556397,-23511.33799999991,-0.6420798020380963,-19.726787291594494,758900.6496591019,70.32401096315849,10.370616401814772,758970.9736700645,2101053.4879621454,0.0,0.0,-8105.551363404302,-0.03598987037411483,-0.007587708131947202
2017-12-24,673.805625,0.005,0.9877277006065409,23734.034643340663,4088.8776280239254,1013.5391566515818,658880.0350000001,1344.1850000000559,1314.5,0.029138585618855004,29.68500000005588,0.0006580288429800982,0.0297966144618351,5852971.450370378,337.9687625283322,79.98198464695577,5853309.419132906,15992126.046627806,1,1.0085725386518791,42035.923044235366,-1.4272271007463928,0.9111413395877515,-0.07666874587785022,0.0,-0.023211895308183572,0.1488641125157384,0.9792399468127966,3.2580178130093076,-0.195952204588974,-0.9778015740707227,-0.9782823072309165,-0.956623557697318,0.12103474320685592,1.2390269249612462,-0.9556633961181001,0.1265602926447833,0.3098722947885022,0.12656925587836843,0.12656939586339955,0.060782141825087344,0.0,0.0,-0.1839304141873439,-0.08397124355758045,-0.05837833973733342,-55.949402777778005,0.0,-0.0234718582969492,3075.3384713723462,2022.9948963175884,775.508410618776,-160573.78199999966,-59208.9823408979,-59212.18734089801,-0.6426220307895891,3.2050000001108856,0.0003641382980990948,-0.64225789249149,657535.8500000006,79.95218803249395,8.985919176843979,657615.8021880332,916338.6478003915,0.0,0.0,-9474.295906487168,0.1308321749135919,-0.05648863117310321
2017-12-25,753.689097222223,0.005,1.02350915218524,23849.462689846718,137.2213988560543,21.793352349995075,124316.45500000007,4680.535,4680.535,0.070496781234235,0.0,0.0,0.070496781234235,5972607.370370378,419.51611878182393,81.61785303472597,5973026.886489159,17975080.003945664,1,1.0085725386518791,38591.56329278982,-1.7106023098905898,1.0036217324496717,0.11855566243191129,0.0,0.03622602824313481,0.004863397574016881,-0.9664403263341558,-0.9784977697142028,-0.8113215632645477,2.482061620982086,2.560696082160517,1.4193618096760994,-1.0,-1.0,1.3659325902454649,0.020440202214283776,0.24128666697903944,0.020452960688472466,0.020452953839229737,0.12399564332698554,0.0,0.0,-0.08193848265972337,0.19854948732125477,0.10149950270477603,79.88347222222308,0.0,0.03578145157869905,115.42804650605467,-3951.656229167871,-991.7458043015868,-534563.5800000001,3336.349999999944,3366.035,0.04135819561538,-29.68500000005588,-0.0006580288429800982,0.040700166772399904,119635.91999999993,81.54735625349173,1.635868387770202,119717.46735625342,1982953.957317857,0.0,0.0,-3444.359751445547,-0.283375209144197,0.09248039286192022
2017-12-26,771.4236423611121,0.005,1.01855226720619,23574.29398803848,279.45519328231603,554.6238950905545,205450.0,0.0,0.0,0.0,0.0,0.0,0.0,6178057.370370378,503.94247627685655,84.4263574950326,6178561.312846655,18185767.73434431,1,1.0085725386518791,32544.33065829288,-1.6545507195983635,0.981633691380312,0.0235303193375771,0.0,-0.004843029462381243,-0.011537731704345022,1.036527798229673,24.44922351474209,0.6526372152423416,-1.0,-1.0,-1.0,,,-1.0,0.034398711862296594,0.20124699317915806,0.03441041825875657,0.034410430467408215,0.011721101121797473,0.0,0.0,-0.15669830705269094,-0.03276716625959153,-0.021908693642664123,17.734545138889075,0.0,-0.0049568849790500025,-275.16870180823753,142.23379442626174,532.8305427405594,81133.54499999993,-4680.535,-4680.535,-0.070496781234235,0.0,0.0,-0.070496781234235,205450.0,84.42635749503262,2.8085044603066365,205534.4263574956,210687.7303986475,0.0,0.0,-6047.232634496937,0.05605159029222628,-0.0219880410693597
2017-12-27,770.245177083333,0.005,1.0155477040398702,26330.02368294122,3322.841859619526,567.1121647167874,180145.85426543932,400700.00000000047,400700.0,34.180363215289916,4.656612873077393e-10,3.972166692158223e-14,34.18036321528996,5957503.224635816,551.1758420905672,81.41372902900066,5958054.400477907,20280573.75427541,1,1.0085725386518791,33556.03636489743,-2.1044423691323364,1.135251396448486,-0.0015276499358668483,0.0,-0.0029498370020432096,0.11689553444531531,10.890428016711315,0.02251664549035337,-0.1231644961526438,inf,inf,inf,inf,inf,inf,-0.035699594955580505,0.0937276932134643,-0.03568350637665729,-0.0356890384676225,0.11518930905374991,0.0,0.0,0.031087003055223272,0.2719116701621469,0.1564918832932134,-1.1784652777790825,0.0,-0.003004563166319807,2755.7296949027404,3043.38666633721,12.488269626232977,-25304.145734560676,400700.00000000047,400700.0,34.180363215289916,4.656612873077393e-10,3.972166692158223e-14,34.18036321528996,-220554.1457345616,47.23336581371069,-3.0126284660319413,-220506.91236874834,2094806.0199311003,0.0,0.0,1011.705706604549,-0.44989164953397287,0.15361770506817407
