,marketPriceEth,marketPriceUsd,debtAvailableToSettle,erc20CoinTotalSupply,globalDebt,globalDebtCeiling,systemSurplus,totalActiveSafeCount,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH),collateral,debt,ETH Price (OSM),block_number
0,,,,,,,,,,,,,,,,,12342826
1,0.0,0.0,0.0,2503.0121330432594,2492.7256250828505,0.0,0.0,1.0,0.0,0.0,0.0,3.133614311989774e-05,-2392.026311337948,0.0,0.0,17.570662150000317,12342586
2,0.0,0.0,1203.736136815438,36094.89958414063,37150.29825702682,0.0,0.0,1.0,0.0363138434266671,4.421063159898431e-06,3.5366683896032036e-05,2.696304712790365e-05,31475.949551790953,115.0,35946.56212021393,-7.2848091300002125,12342308
3,-3.3312361316260516e-06,-0.015336985245073098,0.0,149400.0,148628.63309674338,0.0,-37.62061402812833,0.0,0.0,0.0,0.0,3.0744349313049923e-05,-600.0,0.0,0.0,11.090000000000146,12342006
4,-1.9272828439564644e-06,0.006816890054252678,0.0,-20000.0,-20099.42502106726,0.0,-70.2714844046568,0.0,0.0,0.0,0.0,0.0,4867.936294488609,0.0,0.0,30.740187760000026,12341746
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5520910879196492e-05,-2995.7302512302995,0.0,0.0,2.083130440000332,12341475
6,-1.6536082611735316e-07,0.03536858053304304,0.0,-10000.0,-10141.279932361096,0.0,-29.643369562196312,0.0,0.0,0.0,0.0,1.5865615450749715e-05,-6192.78533032909,0.0,0.0,-11.853318200000558,12341202
7,4.793382664858899e-06,0.0003706660332798428,0.0,-58000.0,-58001.92760468274,0.0,-59.40073739291984,0.0,0.013517669881179972,1.6029581826337846e-06,1.2823275441942172e-05,2.1484824146433823e-05,-31113.07123259455,0.0,0.0,10.34255585000028,12340962
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0665988130043047e-05,994.1642817631364,0.0,0.0,-14.560947370000122,12340700
9,6.187861115777155e-08,-0.004452749208223139,0.0,-22500.0,-22774.36691416055,0.0,-109.58459901146125,0.0,0.0,0.0,0.0,0.0,-16392.758923985064,0.0,0.0,-9.251608479999959,12340437
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654161538781182e-05,-3723.034162402153,0.0,0.0,-18.958977049999703,12340144
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.045668878246637346,-5.5084628950430314e-06,-4.406576053339606e-05,2.419475643655744e-05,108.73598233610392,0.0,0.0,-3.191921999999977,12339898
12,0.0,0.0,0.0,231903.9816227071,231690.35264438018,0.0,-57.554507431108505,0.0,0.0,0.0,0.0,5.441170622955127e-05,143.98881889507174,0.0,0.0,3.9708990499998436,12339618
13,7.502345119255816e-06,-0.009481725739591607,0.0,-39127.08134111762,-39068.55593584478,0.0,-25.65794810737134,0.0,0.0,0.0,0.0,0.0,-39113.1917828545,0.0,0.0,-4.853970639999716,12339361
14,-2.58147080819688e-07,-0.006064989494221962,0.0,-12247.991939522326,-12665.574003946036,0.0,-24.1462234382343,0.0,0.0,0.0,0.0,2.733124721743252e-05,2158.945033635944,0.0,0.0,20.428727689999505,12339066
15,-1.1246569142728952e-07,0.006190230388157136,0.0,-100389.24156764522,-100147.65121359378,0.0,-90.49282918492099,1.0,0.022864350808191936,2.7910575192136022e-06,2.23272634967131e-05,4.0578369549404414e-05,1069.2601901330054,0.0,0.0,4.87253125999996,12338807
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2989.5774447731674,0.0,0.0,-37.15700001999994,12338547
17,0.0,0.0,0.0,800.9060639478266,797.641140062362,0.0,0.0,1.0,0.0,0.0,0.0,1.910871873844755e-05,-36940.40719405562,0.0,0.0,-22.093670419999853,12338261
18,5.2225988223595764e-06,-0.005333399709110509,0.0,0.0,-223.9900993593037,0.0,-111.99504968005931,0.0,0.0,0.0,0.0,1.8637144647115633e-05,-20174.850698947906,0.0,0.0,7.103382129999773,12338007
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05297398874573622,-6.57382705127052e-06,-5.2587101658119195e-05,2.8388042179194883e-05,46034.16459514573,0.0,0.0,11.322118850000606,12337751
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5015740836197295e-05,0.0,0.0,0.0,-0.34211885000013353,12337458
21,-3.0120195610436936e-06,-0.028381230617271047,0.0,0.0,-247.0107932239771,0.0,-111.13639840090764,0.0,0.0,0.0,0.0,4.189264056231323e-05,0.0,0.0,0.0,5.348106849999567,12337192
22,0.0,0.0,0.0,103909.76694144309,103487.6961023882,0.0,0.0,1.0,0.0,0.0,0.0,6.491916382245222e-05,75090.05021295324,0.0,0.0,58.20504813000025,12336901
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02415422376838927,-3.127863972718359e-06,-2.502038982643562e-05,1.6062765385793654e-05,124198.56877972558,0.0,0.0,-15.334091590000298,12336620
24,-1.93452883698016e-05,0.03080523710658234,0.0,-110000.02290000021,-110369.33237002045,0.0,-22.318017531419173,-1.0,0.0,0.0,0.0,4.7868083085766955e-05,-42883.97748054564,0.0,0.0,-7.379063389999828,12336355
25,6.2015853578897134e-06,-0.006259516514636854,0.0,-190000.0,-189431.85411202163,0.0,-53.80735558542074,0.0,0.0,0.0,0.0,9.648683326224372e-05,-109117.36079990864,0.0,0.0,17.76492969999981,12336090
26,2.1774066207586734e-06,0.02546643726187714,0.0,-61594.901017364115,-61753.173049043864,0.0,-25.617233067867346,3.0,0.0,0.0,0.0,0.0,-9097.858504630625,-55.0,-24898.578011395293,-14.814929699999993,12335800
27,0.0,0.0,0.0,-50000.0,-50039.48478456214,0.0,-19.775162779784296,0.0,0.006313455370033694,8.258724109033722e-07,6.606260169239597e-06,9.325677560845236e-05,-68247.80364812165,0.0,0.0,2.117350990000432,12335518
28,1.3936465522893437e-05,0.022354417732601384,0.0,-49197.66073353216,-49065.1061164476,0.0,-34.360510686645284,1.0,0.0,0.0,0.0,0.0,-47747.54855064303,0.0,0.0,0.2226490099997136,12335265
29,2.1099538674400342e-09,0.002599952165210695,0.0,-350.0,-457.35332003980875,0.0,-88.85039837189834,0.0,0.0,0.0,0.0,4.501482120122802e-05,1700.1040992252529,0.0,0.0,-49.777797740000096,12335009
30,0.0,0.0,0.0,25037.728030275553,24936.433065861464,0.0,0.0,1.0,0.0,0.0,0.0,9.143842532433055e-05,-25581.106062412262,0.0,0.0,11.54549722000047,12334725
31,6.0603237536933485e-06,-0.044251004637995806,0.0,-7198.767604615539,-7317.20711844787,0.0,-71.36157183765317,1.0,0.0,0.0,0.0,1.5461760169976912e-06,7587.223003782332,0.0,0.0,-0.5120475500002613,12334478
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03573178063857041,-4.754919920579859e-06,-3.803469603003151e-05,5.807585333661436e-05,178.92033062502742,0.0,0.0,-13.788624840000011,12334204
33,9.940826789052101e-07,0.005183467276600684,0.0,-999.9571166224778,-477.72206969186664,0.0,-15.530749246419873,1.0,0.0,0.0,0.0,0.00012016910555745497,-21283.671075124294,0.0,0.0,-27.747355219999918,12333950
34,2.2116647231547847e-06,-0.00849673867903089,0.0,204473.54540507868,204521.1281653121,0.0,-106.10217108871439,1.0,0.0,0.0,0.0,5.6063899339875434e-05,195366.28993868083,0.0,0.0,1.650328129999707,12333670
35,0.0,0.0,0.0,199507.13039362058,198702.534606345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.23480504751205,0.0,0.0,24.213645540000016,12333406
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009670871082930743,1.3065979164172958e-06,1.0451375757836168e-05,5.9784876412560806e-05,35916.05358203873,0.0,0.0,7.516311100000166,12333147
37,0.0,0.0,0.0,100.657979067415,33.05883289128542,0.0,-28.55779107019771,1.0,0.0,0.0,0.0,0.00011208193335043859,218.7126902230084,0.0,0.0,2.9981284200002847,12332871
38,-3.837694744794921e-06,0.010353238838719747,0.0,-2500.0,-2890.713787931949,0.0,-79.62069941838854,0.0,0.0,0.0,0.0,0.0,254.58672887831926,0.0,0.0,20.564798369999608,12332618
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616580239133697e-05,-2950.0006972514093,0.0,0.0,-26.11712561000013,12332347
40,3.973781525761855e-06,0.007965496549255935,0.0,-49294.644800014794,-49138.433006022125,0.0,-27.02154794006492,1.0,0.0489719084137199,6.396143009568256e-06,5.116363298984794e-05,2.406832595669428e-05,-19193.280998826027,0.0,0.0,28.26091851000001,12332067
