__timestamp,Locked Amount,Accumulated Lock,Accumulated Free,DAI price in ETH,Daily Change in DAI Supply,Minted DAI,Burnt DAI,Total Supply,debt_payment,usd_fee_paid,mkr_burned
2018-04-12,153433.8073648087,216453.31012240733,63019.50275759869,0.002318509313884889,1591971.5385032147,47772837.32938019,24441886.30004195,23330951.029338244,320363.51449678617,36.03354397545804,0.059521048269702004
2018-04-13,155879.35206749509,219272.32657840487,63392.974510909786,0.0020235078843106984,900769.0664647644,48805480.68038019,24573760.584577184,24231720.095803004,131849.28453523509,33.21136530990395,0.047245603931018
2018-04-14,156135.97594916518,219605.98580566948,63470.009856504286,0.0020224583193806,173249.42407877394,48996611.57038019,24591642.05049841,24404969.519881774,17881.46592122612,7.585786317787726,0.010737005204551
2018-04-15,156455.204719224,220639.40965952812,64184.20494030414,0.0020015633786527025,355592.58516173565,49411116.39291371,24650554.2878702,24760562.10504351,58859.2373717908,11.156258867436296,0.015216266502590002
2018-04-16,157852.17909147587,222041.78676965603,64189.607678180124,0.0018807508717289007,264543.9183498788,49718400.23016358,24693294.2067702,25025106.023393385,42699.9188999925,21.136605411491164,0.027706741237247003
2018-04-17,158740.52511312507,222942.187578752,64201.662465626905,0.001962703488428965,191234.77545868407,49917207.38816358,24700866.589311514,25216340.79885207,7541.704541315923,0.8949212367620271,0.0011827125117190001
2018-04-18,161865.88097000573,226357.6536320392,64491.772662033465,0.001981357900472068,475370.73147018923,50441451.54149778,24749740.011175524,25691711.530322254,48074.58852981082,6.370882855446545,0.008414922458136001
2018-04-19,162417.5640136488,227243.3402748055,64825.776261156716,0.0019009316125147442,274333.2524279529,50864646.80249778,24898602.01974757,25966044.78275021,148482.00857204705,57.1899040495262,0.07195384235030401
2018-04-20,163061.86579930663,228431.89704186184,65370.0312425552,0.001754719672330332,607271.9029301468,51654369.78249778,25081053.096817426,26573316.68568036,182451.0770698533,49.7985637811929,0.056856316182919
2018-04-21,163715.24618100017,229180.0163161727,65464.77013517249,0.001609819755147649,343827.0000000001,52051586.28249778,25134442.596817426,26917143.68568036,51107.0,3.762808673486265,0.004142253597132
2018-04-22,163386.34734537118,229566.61581528495,66180.26846991379,0.0016481850692523065,322170.6931373874,52519478.93149778,25280164.552680034,27239314.37881774,125421.95586261267,35.13348348154387,0.037879176629846
2018-04-23,161877.42752346312,230381.9936021771,68504.56607871398,0.0015983661917473384,-81722.30708843097,53092457.84149777,25934865.769768465,27157592.071729306,638251.2170884311,277.7483399118898,0.29574031439970605
2018-04-24,161519.21770194045,231255.4978190271,69736.28011708666,0.001552489463822158,353652.5324421066,53784682.95249777,26273438.34832636,27511244.60417141,338537.6785578936,94.21884063371982,0.093656482027355
2018-04-25,165552.48892821447,235532.5613770141,69980.07244879965,0.0014156868947325313,1397404.5218342054,55419233.4358068,26510584.30980118,28908649.126005616,236946.6031657944,48.79316513322154,0.050518129371756
2018-04-26,166919.15416890653,237051.95356174558,70132.79939283902,0.0015993669322864536,117624.99935315392,55787349.1292068,26761075.00384803,29026274.12535877,228035.7724968462,59.69718009694618,0.061590410783737004
2018-04-27,175881.59065860027,247475.1897320136,71593.59907341338,0.001492915757028043,910819.3955543748,57056939.6782068,27119846.15729365,29937093.52091315,358771.15344562486,192.2525559048452,0.186569808089236
2018-04-28,176831.5609959418,248646.04047958954,71814.47948364774,0.0015453717899578385,194185.96804104865,57579058.5782068,27447779.0892526,30131279.4889542,327932.9319589515,71.73772015114021,0.069246062276463
2018-04-29,177097.67593787058,248992.80369800306,71895.12776013247,0.0014542854969737215,172041.8897731541,57767305.2192068,27463983.84047945,30303321.378727354,16204.751226845889,4.4662486192222115,0.004188883868426
2018-04-30,174721.41078069387,250432.21056074425,75710.79978005037,0.0014535166451099684,-125868.96614483482,58164366.3792068,27986913.96662428,30177452.41258252,522930.1261448348,63.43670641434893,0.0600370632972
2018-05-01,173995.9321480185,251292.63980734578,77296.70765932728,0.001496393620768923,205938.22272997923,58548081.0592068,28164690.423894305,30383390.63531249,166893.61039167832,17.98164831426904,0.01744905234894
2018-05-02,174110.25573435595,252486.99957231464,78376.7438379587,0.0014778574641522654,170794.1884999999,58742356.5892068,28188171.765394304,30554184.823812496,23436.341500000002,2.278611983653216,0.002166945431165
2018-05-03,172709.00199061667,253726.51732344693,81017.5153328302,0.001450627156555565,603445.5144205695,59644050.2942068,28486419.95597373,31157630.338233065,283522.5475121433,121.94413542686993,0.10774516469320501
2018-05-04,173030.516686281,254397.83718096532,81367.32049468436,0.0012833929622868784,581963.0855775166,60379723.4742068,28640130.05039621,31739593.423810586,150195.0944224837,24.462761369517374,0.021456433911133003
2018-05-05,172653.9049887759,254928.29733959126,82274.39235081531,0.0012647780617700071,185281.4833027359,60812991.7832068,28888116.87609348,31924874.90711332,245423.79669769993,141.51863439645558,0.12494176425104901
2018-05-06,173264.08402174074,255593.43635488523,82329.35233314446,0.001236595108562466,353422.4424973337,61199548.4212068,28921251.071596146,32278297.34961065,31080.163781267052,17.26055366803871,0.015796563069253002
2018-05-07,174653.49617070495,257345.79089205177,82692.29472134683,0.0012648568554519625,455322.20251366455,61920413.7722068,29186794.22008248,32733619.55212432,164760.73810194415,16.951916580935936,0.016763357120301
2018-05-08,177832.94264439837,260525.52323647405,82692.58059207567,0.001329423861487943,505080.48938905203,62438419.1822068,29199719.14069343,33238700.041513365,12924.920610948011,2.498747310322295,0.002431488514786
2018-05-09,178843.14191205913,261684.62808965245,82841.48617759327,0.0013228567975060335,628139.4231794501,63126492.6792068,29259653.21451398,33866839.464692816,59811.043820550156,13.306537122837998,0.013344847820683
2018-05-10,180280.45521568856,263158.8587065673,82878.40349087869,0.001320874680136918,627203.380379451,63774121.7238685,29280078.87879624,34494042.84507227,20425.66428225855,2.767450135226194,0.0026161660030870003
2018-05-11,181831.33950014878,264981.8661233693,83150.52662322055,0.0013666828457382812,448724.0914993225,64341638.79064153,29398871.854069944,34942766.93657158,107683.78527370772,8.50813222476876,0.008437838998150001
2018-05-12,183566.7372486157,267086.83886673104,83520.10161811534,0.0015021939828071796,514136.30761604244,64971244.68064153,29514341.4364539,35456903.24418763,112691.64867714945,23.816688791623346,0.025338645098868
2018-05-13,184267.26021220046,267872.3679008005,83605.1076886001,0.0014629734362610195,253352.50952679536,65270044.55064153,29559788.796927106,35710255.75371443,45447.36047320469,6.553321724584486,0.006980047640351
2018-05-14,184494.25026057614,268768.9746231771,84274.72436260094,0.0013489821348719013,-67294.99019342955,65404564.95164153,29761604.188120537,35642960.76352099,200228.95791524395,44.1438310808771,0.044719621321688004
2018-05-15,184995.9831960182,269306.463131901,84310.4799358828,0.001363218620516899,248606.06511677825,65690771.24864153,29799204.42000376,35891566.82863777,37600.23188322171,10.389074889699215,0.011153611034335001
2018-05-16,185309.0160729509,269771.8073806042,84462.7913076533,0.0014107080131645956,86971.49523229068,65944079.22864153,29965540.904771466,35978538.32387006,166336.4847677093,73.93698700201831,0.081381858517205
2018-05-17,186205.50858351644,270974.14361828245,84768.63503476602,0.00140830068594866,1088235.6310871963,67116179.10864152,30049405.15368427,37066773.95495725,83864.24891280362,23.440755724480073,0.026359024783871
2018-05-18,186659.54803681688,271593.1253457236,84933.57730890671,0.0014909381750282831,171641.06716068284,67415424.01962121,30177008.99750328,37238415.02211793,126839.66381901174,37.44321460266044,0.043050955978249004
2018-05-19,187381.78160685932,272464.60089087643,85082.81928401707,0.0014394189239984045,327765.19128199096,67756601.6496212,30190421.43622129,37566180.21339992,12491.298718009002,4.845299393182701,0.005346009791353
2018-05-20,187347.45658198337,272585.3896601531,85237.93307816972,0.0014367794639139734,39993.332896673375,67829985.74062121,30223812.194324616,37606173.546296604,33390.75810332661,5.627159718139825,0.006231234786229001
2018-05-21,187843.7937385797,273100.01011023746,85256.21637165778,0.0013968539313277482,105706.94133782148,67943700.28062122,30231819.792986795,37711880.48763442,7999.028662178483,3.438816543430514,0.0038421714314540003
2018-05-22,190072.95755592073,275372.7649954064,85299.80743948565,0.001452185428948174,230993.02427813393,68249448.72453393,30306575.21262138,37942873.51191256,60258.939634584516,19.770319161806974,0.022394795451570002
2018-05-23,185080.17244370122,281665.5773261509,96585.40488244973,0.001540226726423061,-1723334.9575813278,69032938.16485393,32813399.610522706,36219538.55433123,2443805.784699666,566.5011111053174,0.7173173927605291
2018-05-24,186489.11909212233,284103.8256164199,97614.70652429755,0.001790193373715911,228985.508450188,69444513.78485394,32995989.72207252,36448524.062781416,104781.24442653693,64.16777635569856,0.085037502574709
2018-05-25,187734.92975433305,285713.5605147449,97978.63076041194,0.0016811160688319994,443323.851685424,69956220.85485393,33064372.940387096,36891847.91446683,68370.1542269619,46.36769998875338,0.059478179959467005
2018-05-26,188805.8965647132,286948.4879108343,98142.59134612113,0.0017126670688932292,180696.285,70194635.85485393,33122091.655387096,37072544.19946683,57638.715000000004,15.63009674987759,0.0201358605004
2018-05-27,191979.36253955693,290394.0923804653,98414.72984090836,0.0016791751804931206,249020.252104673,70472188.67585392,33150624.224282425,37321564.45157149,19863.068895327,5.698934067716434,0.007646615611237001
2018-05-28,198338.9786898004,297315.3543055589,98976.37561575852,0.001759134437405268,541325.9535003554,71363169.24585392,33500278.84078207,37862890.40507185,230653.83759282148,138.43783739926988,0.190906171746437
2018-05-29,209477.41743431054,308584.08035648725,99106.66292217668,0.0019521893821361305,2472433.119333717,73936232.34485391,33600908.820448354,40335323.52440555,100426.29966628179,50.852660646882825,0.072609749243288
2018-05-30,209879.17046008183,309029.74706595764,99150.57660587574,0.0017817852518978118,70300.43276845622,74020993.66385391,33615369.706679896,40405623.95717402,11442.886231543795,2.8769222322143833,0.003924660565611001
2018-05-31,211966.68398011738,311201.48805257736,99234.80407245996,0.0017938311978412766,619652.7341621461,74683318.66385391,33658041.97251775,41025276.69133616,30672.265837853807,3.183452633448889,0.004221875127676
2018-06-01,211956.96427653212,311352.00845715345,99395.04418062136,0.0017327424283080438,-67824.14124865973,74706717.3902442,33749264.840156704,40957452.5500875,91222.86763895143,25.534920332123622,0.033851112782646
2018-06-02,212862.8938391372,312380.1399420371,99517.24610289997,0.0017244238789193215,274902.66641899594,75029287.3902442,33796932.173737705,41232355.216506496,47667.3335810041,19.748718706481746,0.025552367191577004
2018-06-03,213094.404111973,312910.80319333595,99816.39908136294,0.0016778532902562994,118649.40773000699,75207330.2972442,33856325.6730077,41351004.62423651,54110.49926999307,17.108244037853858,0.021795944239789002
2018-06-04,213607.34385828374,313511.2312921589,99903.88743387512,0.0016206420853623234,146333.21970473268,75393897.3272442,33896559.48330297,41497337.84394124,40233.810295267314,14.88799900874318,0.01922700573079
2018-06-05,213971.45360446317,314188.91791604104,100217.46431157787,0.0016859397792524265,117220.71651576905,75554421.6572442,33939863.0967872,41614558.56045701,43303.61348423094,11.4569906434647,0.014509511164816
2018-06-06,215147.3384263556,315792.8428478462,100645.50442149062,0.0016522649650502295,440194.2543964631,76181203.60124421,34126450.78639074,42054752.81485347,179004.93901656521,78.28164786780684,0.100097228169208
2018-06-07,215631.71525103145,316499.28298585565,100867.56773482422,0.0016438437617356586,173519.26665197112,76355010.61124422,34126738.52973877,42228272.08150545,187.74334802892994,0.030684246290538,3.8546793002649007e-05
2018-06-08,216037.78983337482,317069.2048694462,101031.41503607144,0.0016501924198636126,59774.16960174572,76528058.71524422,34240012.464137025,42288046.25110719,104112.34862563874,49.85379906842036,0.064246594309775
2018-06-09,215921.62326238735,317226.16694331536,101304.54368092796,0.001664046370099006,22408.617495057042,76641146.09524421,34330691.22664197,42310454.86860225,90647.43194868376,61.438695336023436,0.077933708440029
2018-06-10,216272.75274519948,318689.185131127,102416.43238592756,0.001644835180282548,-190793.59228643216,76886159.67524421,34766498.398928404,42119661.27631581,418932.22630067344,262.99574617705537,0.354293828847392
2018-06-11,217612.16240960266,320376.64331447124,102764.48090486851,0.0019062868604445761,163789.85997904473,77203272.40882142,34919821.27252657,42283451.13629485,73447.85193576495,30.64865884609639,0.044886047335723
2018-06-12,221440.86819762734,324646.7577278803,103205.88953025301,0.0018711418306193324,96852.97955250816,77594507.17951234,35214203.06366499,42380304.11584735,275346.9472004329,117.33029940265635,0.173610135826716
2018-06-13,224867.6526003308,330684.3144106832,105816.66181035241,0.0020301584202655565,-386554.19588045107,77996665.06302378,36002915.14305687,41993749.91996691,597342.6504467849,427.5680326112289,0.68306730107833
