date,DAI Supply,Max DAI Supply,ETH Freed from CDPs that are still open,ETH Freed from completely closed CDPs,Locks volume ETH,"Stability Fee Paid, ETH",closed CDPs,1 - 7 days WIPES,30 - 365 days WIPES,7 - 30 days WIPES,less than 1 day WIPES,more than 365 days WIPES,"Locked in CDPs, ETH"
2018-01-06,8020366.21018429,50000000,0,10.34,892.729246380693,0,0,0,0,4.14172267913818,0,0,33101.2044951023
2018-01-07,8173092.07118429,50000000,0,0,0,0,4,0,0,10.6404914855957,0.948820650577545,0,33336.5661558786
2018-01-08,8320412.07118428,50000000,1.09999980306427,5.1,284.112293872451,0,2,0,0,0.016063151881099,0.914707183837891,0,33603.736743906
2018-01-09,8330308.07118429,50000000,0,0.214,126.260659250279,0,1,2.43936324119568,0,0.735061466693878,0,0,33719.7833540768
2018-01-10,8337372.02187847,50000000,0,500,43.0336076734118,0,2,0,0,24.5520000457764,0,0,33230.0780121798
2018-01-11,8378188.42653796,50000000,0,125,104.857881664588,0,0,0,0,0.015419877134264,0,0,33209.9072240102
2018-01-12,9086514.42653796,50000000,0,1265.04,104.562712808458,0,1,0,0,2.78785800933838,1.10791432857513,0,32049.0417664458
2018-01-13,9217527.93820897,50000000,0,38.5147431747023,209.090668659403,0,1,0,0,2.15484523773193,6.56148767471314,0,32219.6088582402
2018-01-14,9263751.55412077,50000000,0,4.44287546469886,33.4004048284391,0,0,10.065577507019,0,4.3305459022522,0.225556954741478,0,32248.5653685919
2018-01-15,9272281.60212077,50000000,0,10.2799931208077,17.5457155666076,0,1,0.074664726853371,0,1.57915890216827,0,0,32255.801075917
2018-01-16,8903817.5328867,50000000,0,1154.88695297226,883.255864902563,0,2,0,0,398.325500488281,0,0.100258357822895,31844.6717860861
2018-01-17,8983341.03733806,50000000,0,414.338528824853,4303.41742847739,0,0,0,0,55.6131820678711,4.96560716629028,462.166900634766,35695.3659530764
2018-01-18,9448841.03733806,50000000,0,1020,1074.23265217369,0,1,10.0834884643555,378.722564697266,0,0,0,35748.7875767697
2018-01-19,9438552.11443806,50000000,0,60.0454536177698,53.7261233801776,0,3,10.0797986984253,0,0,0.107331193983555,0,35646.5444169005
