__timestamp,Locked Amount,Accumulated Lock,Accumulated Free
2019-01-27,1964013.320233148,3241861.395483859,1277848.0752507108
2019-01-26,1962369.9221314217,3238493.2513032835,1276123.3291718618
2019-01-25,1959668.7675123636,3234824.548110546,1275155.7805981825
2019-05-11,1959055.300420722,4111165.4976453087,2152110.1972245867
2019-01-24,1957714.2976566348,3221480.0566583294,1263765.7590016946
2019-01-21,1932893.0747346012,3180361.251440957,1247468.176706356
2019-05-15,1932491.7126023797,4168096.814671831,2235605.1020694515
2019-01-23,1932382.3812666023,3195677.777481954,1263295.3962153518
2019-01-22,1926485.2949241525,3189442.909094408,1262957.6141702556
2019-01-20,1925965.9113255893,3170780.7739613582,1244814.862635769
2019-01-19,1891585.2008363449,3134639.382917043,1243054.182080698
2019-01-18,1885917.9741271602,3128448.9155026427,1242530.9413754826
2019-01-16,1885269.7403895038,3115298.107537517,1230028.367148013
2019-11-15,1882186.6528748986,5986171.961200923,4103985.308326024
2019-11-16,1881834.9418967655,5987797.519596559,4105962.5776997935
2019-11-13,1881554.950448663,5959637.42223519,4078082.471786527
2019-01-17,1879986.4433189824,3122199.264507042,1242212.8211880594
2019-11-17,1879569.4494084613,5989620.399862455,4110050.950453994
2019-11-14,1878185.8519158033,5969253.211535657,4091067.3596198536
2019-01-15,1876705.6454809408,3105298.715477043,1228593.069996102
2019-11-12,1872917.2264631088,5949901.458937401,4076984.232474292
2019-01-14,1872894.6135232619,3095989.8235345134,1223095.2100112515
2019-01-01,1867539.4840309126,2905242.926959301,1037703.4429283881
2018-12-31,1867487.9954757586,2902891.954373031,1035403.9588972724
2019-01-02,1867278.4991147537,2912735.7023162604,1045457.2032015068
2018-12-30,1865642.9411692778,2896662.254532925,1031019.313363647
2019-01-03,1865472.1647010627,2917059.8789368537,1051587.714235791
2018-12-29,1864093.6268537175,2888635.4642046406,1024541.8373509231
2019-11-11,1860041.2783727478,5933199.051785716,4073157.773412968
2019-11-18,1854432.1075194627,6004761.146754744,4150329.0392352818
2019-01-04,1854293.5193462907,2929637.736067889,1075344.216721598
2019-11-09,1847955.1063431092,5916540.9823681,4068585.8760249913
2019-11-08,1846024.6999866366,5913790.478267665,4067765.7782810284
2019-11-10,1845636.415710351,5917855.057979692,4072218.642269341
2018-12-28,1840891.468858413,2862357.68670818,1021466.2178497667
2019-01-13,1835549.3031819067,3056657.2433320796,1221107.940150173
2018-12-27,1833171.294006463,2848912.2385329837,1015740.9445265208
2019-01-05,1830493.7656432586,2942090.242381471,1111596.4767382126
2018-12-26,1827227.8244197643,2839841.644610208,1012613.8201904438
2019-01-06,1824634.719488765,2945832.2060957444,1121197.4866069793
2019-11-06,1822405.3137510163,5869929.629643297,4047524.3158922805
2019-01-12,1822023.4454022713,3019845.6679610116,1197822.2225587403
2019-01-10,1819542.1058410206,3010216.1607060363,1190674.0548650157
2019-01-11,1817997.1621541907,3014264.807889061,1196267.6457348703
2019-01-07,1817158.7755786476,2949170.1235930054,1132011.3480143577
2019-11-07,1816510.5100390757,5875271.903738772,4058761.393699696
2018-12-25,1813238.3742675032,2823903.63987145,1010665.2656039471
2019-01-09,1812469.5083295295,2972244.2138215075,1159774.705491978
2019-05-16,1809823.8059932976,4186298.928895682,2376475.1229023845
2019-01-08,1806770.294301715,2955604.739496843,1148834.445195128
2019-05-17,1806523.7529393095,4194461.919013722,2387938.1660744124
2019-05-18,1806055.592910924,4197817.776267785,2391762.1833568607
2019-05-19,1804506.746177637,4204602.862224371,2400096.116046734
2018-12-24,1801483.199689279,2810705.755378942,1009222.5556896629
2019-11-05,1794037.585842506,5834837.825276603,4040800.239434097
2019-05-20,1790977.0959757143,4208323.569589353,2417346.473613639
2018-12-23,1789570.111020382,2787605.3610795396,998035.2500591576
2019-11-19,1786669.2462300006,6140870.493836513,4354201.247606512
2019-05-21,1772977.5086962613,4216965.2644312885,2443987.755735027
2019-05-24,1766131.5566855995,4234232.753833955,2468101.1971483557
2018-12-22,1761732.2685705684,2753568.2312335763,991835.9626630078
2019-05-25,1760869.0415555346,4235058.594335086,2474189.552779551
2019-05-22,1760547.2818545103,4220472.306745623,2459925.024891113
2019-11-04,1760373.2826772719,5798150.794415563,4037777.5117382915
2019-05-26,1760187.036469872,4239293.3274386,2479106.2909687283
2019-05-23,1759185.0390814217,4223350.925827586,2464165.8867461644
2019-11-20,1750500.4500583177,6321537.237142755,4571036.787084437
2019-11-22,1741153.3436518032,6618521.334261648,4877367.990609845
2019-11-21,1725829.582100003,6481212.393823202,4755382.811723199
2019-10-29,1720774.5392421824,5709175.643863323,3988401.1046211408
2019-11-25,1716761.4622902554,6756095.658745046,5039334.19645479
2019-05-27,1714015.4877834017,4242850.140593149,2528834.652809747
2019-10-30,1711684.6824430446,5713807.5986289475,4002122.916185903
2019-11-03,1709870.1177627333,5741805.036710683,4031934.91894795
2018-12-21,1708725.7945307589,2587352.7398991,878626.9453683409
2019-11-24,1708311.0260527423,6669067.054412414,4960756.028359672
2019-10-28,1706843.7708401848,5688677.202164534,3981833.431324349
2019-11-26,1706338.8257530667,6804507.181383954,5098168.355630888
2019-11-23,1705444.80518304,6652117.694799231,4946672.889616191
2019-11-27,1702229.5937949596,6840633.198938348,5138403.605143389
2019-11-02,1697001.8373971987,5724976.389585085,4027974.5521878866
2019-10-27,1695977.3236246365,5672949.063381219,3976971.739756583
2019-11-01,1695785.0508339372,5720969.821545254,4025184.770711317
2019-10-31,1695085.106796145,5719944.495300029,4024859.3885038844
2019-10-26,1693050.4485039795,5668191.216635444,3975140.7681314647
2019-11-28,1692128.6974398848,6946000.5314679975,5253871.834028113
2018-12-20,1685559.187785436,2562619.77974442,877060.5919589843
2018-12-19,1670055.8376261909,2545920.8747212873,875865.0370950963
2019-10-25,1668386.4441938638,5639246.1049350295,3970859.6607411657
2019-11-29,1664573.2421091208,6953780.878066685,5289207.635957564
2019-11-30,1654317.0295246188,7026503.331408876,5372186.301884257
2019-10-24,1652303.6904424224,5621150.241613207,3968846.551170785
2019-10-23,1650194.3680159291,5618072.526480596,3967878.1584646665
2019-06-09,1647812.8453714182,4322131.436485942,2674318.5911145243
2019-06-05,1647518.213523122,4312918.092233777,2665399.878710655
2019-06-07,1647411.1140263001,4316317.078250108,2668905.964223808
2019-06-06,1647387.2506159614,4314636.507268323,2667249.2566523612
2019-06-04,1646689.001626446,4310492.975312292,2663803.9736858457
2019-06-08,1646643.3750563092,4317075.753810363,2670432.3787540537
2019-06-12,1645942.3133834451,4329195.200677501,2683252.887294056
2019-06-10,1645580.6730919369,4325196.444895714,2679615.7718037767
2018-12-18,1645525.6973910597,2518017.4621391986,872491.764748139
2019-06-11,1644713.995506037,4326551.659272569,2681837.663766532
2019-05-28,1643582.368049906,4246550.318555003,2602967.950505097
2019-05-31,1643396.6146838781,4275316.7720418265,2631920.1573579484
2019-06-02,1641587.5830177292,4278429.085746736,2636841.502729007
2019-06-01,1641325.8551896438,4276841.562094998,2635515.706905354
2019-06-16,1641270.0144816912,4345976.89161806,2704706.877136369
