date,rho_star,beta,p,Q,v_1,v_2 + v_3,u_1,u_2 + u_3,u_2,w_2,u_3,w_3,w_2 + w_3,D_1,D_2,w_1,D,C_star,p_star,p_ema_10
2017-12-18,736.004090277778,0.005,1.01760484160946,2425.6619999999994,2526.6619999999994,101.0,595342.0268693233,45.94383999,10.0,6.276475655352884e-06,35.94383999,2.2560063665713446e-05,2.883653932106633e-05,595296.0830293334,0.0,0.0,595296.0830293334,1785297.1536313752,1,1.0085725386518791
2017-12-19,832.236972222222,0.005,1.0033764853070302,6240.431313943119,3821.3203087684715,6.5509948253524755,1379831.7499999998,35394.48297973333,35367.48297973334,0.45588541595629206,26.999999999992724,0.00034802890095034336,0.45623344485724243,1939733.3500495998,26.049428753934585,26.50566219879183,1939759.3994783538,5193517.662076764,1,1.0085725386518791
2017-12-20,810.287506944444,0.005,1.01297235482996,14183.070621067143,8066.895210336012,124.25590321198437,2676383.0,502251.75,501412.75,0.178879210015564,839.0,0.00029931360381852713,0.17917852361938252,4113864.6000495995,82.0848819347468,56.2146317044316,4113946.6849315343,11492364.934361482,1,1.0085725386518791
2017-12-21,837.2310798611121,0.005,1.02573762618401,15644.732690357643,1471.7420692904998,10.080000000000041,805355.0,49782.711992200006,49782.711992200006,1.158909099970081,0.0,0.0,1.158909099970081,4869436.8880574005,147.46595626293058,66.53998342815386,4869584.354013664,13098256.444486571,1,1.0085725386518791
2017-12-22,689.014989583333,0.005,0.9722280073382281,18830.844186294788,5316.960480503129,2130.8489845659874,314551.190340898,747453.1276870223,723915.3096870225,19.756468105964842,23537.817999999854,0.6423736925829774,20.39884179854782,4436534.950711275,187.69256353267977,60.625449068297016,4436722.643274808,12974733.91086527,1,1.0085725386518791
2017-12-23,729.755027777778,0.005,1.0111995589034901,20658.696171968317,2065.882731706337,238.03074603280584,819453.8169999998,60553.167340897955,60526.68734089801,0.6717606164084441,26.479999999944994,0.00029389054488100343,0.6720545069533251,5195435.600370377,258.01657449583826,70.99606547011179,5195693.616944873,15075787.398827415,1,1.0085725386518791
2017-12-24,673.805625,0.005,0.9877277006065409,23734.034643340663,4088.8776280239254,1013.5391566515818,658880.0350000001,1344.1850000000559,1314.5,0.029138585618855004,29.68500000005588,0.0006580288429800982,0.0297966144618351,5852971.450370378,337.9687625283322,79.98198464695577,5853309.419132906,15992126.046627806,1,1.0085725386518791
2017-12-25,753.689097222223,0.005,1.02350915218524,23849.462689846718,137.2213988560543,21.793352349995075,124316.45500000007,4680.535,4680.535,0.070496781234235,0.0,0.0,0.070496781234235,5972607.370370378,419.51611878182393,81.61785303472597,5973026.886489159,17975080.003945664,1,1.0085725386518791
2017-12-26,771.4236423611121,0.005,1.01855226720619,23574.29398803848,279.45519328231603,554.6238950905545,205450.0,0.0,0.0,0.0,0.0,0.0,0.0,6178057.370370378,503.94247627685655,84.4263574950326,6178561.312846655,18185767.73434431,1,1.0085725386518791
2017-12-27,770.245177083333,0.005,1.0155477040398702,26330.02368294122,3322.841859619526,567.1121647167874,180145.85426543932,400700.00000000047,400700.0,34.180363215289916,4.656612873077393e-10,3.972166692158223e-14,34.18036321528996,5957503.224635816,551.1758420905672,81.41372902900066,5958054.400477907,20280573.75427541,1,1.0085725386518791
2017-12-28,728.1856041666671,0.005,1.03224975421657,26283.819475817123,153.840480014067,200.04468713816368,36732.22300000116,200031.2341,200031.2341,18.85561259043048,0.0,0.0,18.85561259043048,5794204.213535817,611.5031898134972,79.18296031336048,5794815.716725631,19139498.964805502,1,1.0085725386518791
2017-12-29,750.96203125,0.005,1.02372820065076,26370.568472210405,86.74899639328214,0.0,6981.0,100062.0005,100062.0005,10.721249232318174,0.0,0.0,10.721249232318174,5701123.213035817,678.6938114739161,77.91187089273706,5701801.906847292,19803295.665108334,1,1.0103568881586344
2017-12-30,715.743,0.005,0.9798207733004201,26485.185678129325,117.16146354026932,2.54425762135088,28229.636049999855,990.0,850.0000000000001,0.007344454763349001,139.9999999999999,0.001209674902198658,0.00855412966554766,5728362.849085817,756.9702648454094,78.28500750115877,5729119.819350663,18956586.25282132,1,1.0081376191828368
2017-12-31,734.771638888889,0.005,1.00683759258744,26760.49023729616,480.5501024264486,205.24554325962163,361701.0,150530.00000000003,150530.00000000003,19.105893700434375,0.0,0.0,19.105893700434375,5939533.849085817,819.0360135340006,81.17164238902573,5940352.885099351,19662849.269128215,1,1.0049792892721834
2018-01-01,763.999472222222,0.005,1.01621483060537,26838.318557221686,86.83533821811216,9.00701829258287,26446.5,22.34477,22.34477,0.00020230543078,0.0,0.0,0.00020230543078,5965958.004315818,900.5693769851378,81.53356575656785,5966858.573692803,20504461.213049237,1,1.0113649759464818
2018-01-02,874.9422083333329,0.005,1.02927317118466,27193.77576127992,375.00123089566114,19.544026837415004,206800.09471428487,5491.426855934318,4261.426855934733,0.011793560788431,1229.9999999995853,0.0034040428852047887,0.01519760367363579,6167266.672174168,984.8396597986709,84.2854804172068,6168251.511833967,23792982.217495717,1,1.0124267481161344
2018-01-03,902.3624166666671,0.005,1.01876206721954,28882.99873020397,1719.3830803321107,30.160111408073135,523864.66599999927,8073.0210000001825,8061.3550000000005,0.369194006066872,11.666000000182066,0.0005342795689860262,0.3697282856358581,6683058.317174167,1075.8046451388318,91.3347136257966,6684134.121819306,26062932.53476713,1,1.017119155965136
