date,p,p_star,p_hat,e_hat,e_star,cumsum_e_hat,cumsum_e_star,delta_e_hat,delta_e_star,y
2018-08-13,1.03007381187517,1,1.0015758061408995,-0.028498005734270526,-0.030073811875169998,0.00750436483675565,-0.7017733544224596,-0.01876775782481621,-0.021019069365419973,1.02268861019963
2018-08-14,1.02268861019963,1,1.0051192212104794,-0.017569388989150614,-0.022688610199629977,-0.010065024152394964,-0.7244619646220896,0.010928616745119912,0.007385201675540021,1.0054381199675202
2018-08-15,1.0054381199675202,1,1.0068262243270871,0.001388104359566933,-0.005438119967520194,-0.00867691979282803,-0.7299000845896098,0.018957493348717547,0.017250490232109783,1.0054741212732
2018-08-16,1.0054741212732,1,1.0073132944107053,0.0018391731375053677,-0.005474121273199906,-0.006837746655322663,-0.7353742058628097,0.0004510687779384348,-3.600130567971149e-05,1.00165314008287
2018-08-17,1.00165314008287,1,1.0092521548271176,0.007599014744247512,-0.001653140082870097,0.0007612680889248491,-0.7370273459456798,0.005759841606742144,0.0038209811903298085,1.00402360039818
2018-08-18,1.00402360039818,1,1.0094763541221619,0.005452753723981907,-0.0040236003981799495,0.006214021812906756,-0.7410509463438597,-0.002146261020265605,-0.0023704603153098525,1.00273246130463
2018-08-19,1.00273246130463,1,1.010026830434799,0.0072943691301690095,-0.0027324613046300072,0.013508390943075765,-0.7437834076484897,0.0018416154061871026,0.0012911390935499423,1.01112188460353
2018-08-20,1.01112188460353,1,1.0102409529685974,-0.0008809316349325247,-0.011121884603529919,0.01262745930814324,-0.7549052922520196,-0.008175300765101534,-0.008389423298899912,1.01744694617677
2018-08-21,1.01744694617677,1,1.0099077844619748,-0.007539161714795073,-0.017446946176769895,0.005088297593348168,-0.7723522384287895,-0.006658230079862548,-0.006325061573239976,1.01178242698331
2018-08-22,1.01178242698331,1,1.0091505813598631,-0.0026318456234468712,-0.011782426983310001,0.0024564519699012966,-0.7841346654120995,0.004907316091348202,0.005664519193459894,1.0024268984783
2018-08-23,1.0024268984783,1,1.0075249052047728,0.005098006726472759,-0.0024268984783000214,0.007554458696374056,-0.7865615638903996,0.00772985234991963,0.00935552850500998,1.00404532955728
2018-08-24,1.00404532955728,1,1.006602121591568,0.0025567920342879358,-0.004045329557279986,0.010111250730661991,-0.7906068934476795,-0.0025412146921848233,-0.001618431078979965,1.00005813818725
2018-08-25,1.00005813818725,1,1.0061567556858062,0.006098617498556225,-5.813818724997866e-05,0.016209868229218216,-0.7906650316349295,0.003541825464268289,0.003987191370030008,1.00670639341183
2018-08-26,1.00670639341183,1,1.005770260095596,-0.0009361333162341001,-0.006706393411830103,0.015273734912984116,-0.7973714250467596,-0.007034750814790325,-0.006648255224580124,0.997394388981534
2018-08-27,0.997394388981534,1,1.0060540187358855,0.008659629754351528,0.002605611018466014,0.023933364667335644,-0.7947658140282936,0.009595763070585628,0.009312004430296117,0.98808204072696
2018-08-28,0.98808204072696,1,1.005543847084045,0.01746180635708494,0.011917959273039958,0.041395171024420585,-0.7828478547552536,0.008802176602733414,0.009312348254573943,0.999340690239452
2018-08-29,0.999340690239452,1,1.0053925919532773,0.006051901713825303,0.0006593097605479548,0.04744707273824589,-0.7821885449947057,-0.011409904643259638,-0.011258649512492003,1.00920407719317
2018-08-30,1.00920407719317,1,1.0032155442237851,-0.005988532969384952,-0.009204077193170068,0.041458539768860936,-0.7913926221878758,-0.012040434683210255,-0.009863386953718023,1.00286424444595
2018-08-31,1.00286424444595,1,1.0031461215019224,0.00028187705597249035,-0.002864244445949904,0.041740416824833426,-0.7942568666338257,0.006270410025357442,0.006339832747220164,0.996407889234362
2018-09-01,0.996407889234362,1,1.0023731279373167,0.005965238702954734,0.0035921107656380347,0.04770565552778816,-0.7906647558681876,0.0056833616469822434,0.006456355211587939,0.996699943458643
