,0,1,2,3,4,5,6,7,8,9
54,7.908071295561781e+18,9.16151860053295e+19,4.6410783642859135e+19,8.598924723251592e+19,9.625288191310366e+19,2.3087357062238157e+18,2.5707619655107506e+19,4.974496558040627e+19,1.306628076966526e+20,4.588388947963444e+17
55,4.600162346286464e+18,7.199234025540785e+17,2.92010850509073e+17,3.2358045706854773e+19,5.912507008966734e+18,1.21186037909846e+19,7.376633464203148e+20,1.4821426858583544e+16,1.9278019813723423e+18,5.083329603894696e+18
56,3.4531487916295114e+20,1.7757308949001175e+20,1.1651708630652584e+19,5.671207078281677e+20,9.527569211202025e+21,3.9906334356974525e+22,6.375984211561706e+18,1.67350339176638e+18,7.118917606438151e+20,1.400702389019904e+21
57,1.23590598784158e+19,3.822325134787461e+18,1.0110950876150202e+18,8.328831105137904e+20,5.697754548747868e+19,2.8711578759299547e+20,2.4908211016001876e+19,5.7639056123698224e+20,1.631992771176125e+22,4.674143792972601e+18
58,7.497588923198009e+19,2.011187781252407e+20,4.636095588714047e+23,4.8562585329485165e+20,2.1737557478723446e+21,1.82778348458017e+21,2.6288687872244837e+21,1.1889936979666916e+20,1.817727547507939e+22,3.436117618133694e+18
59,1.1344062477690305e+19,5.263263870776495e+20,5.247012163468829e+22,4.771465780155396e+20,5.050661565512614e+19,1.663308094498325e+20,2.491207994299044e+20,5.0895963335133246e+20,3.589813367662972e+19,2.9954140876392268e+19
60,4.4686884782723814e+18,1.991891133075764e+18,1.4976005961429326e+21,3.5563402125368443e+19,7.123840738404587e+21,2.960809866260784e+20,4.96514067415637e+21,2.721247394159072e+22,2.1211443081474687e+20,8.66142586399849e+19
61,2.269786794701439e+18,4.941399576637298e+19,2.2306707595550048e+20,3.943504867803224e+20,4.5870549638134284e+19,1.7231520575799503e+21,7.390092385395562e+22,4.505485388104828e+20,3.733696670369612e+20,5.1648229467420636e+20
62,3.552106669552321e+20,5.007083291181421e+20,1.007692448282294e+21,2.683276774568658e+19,2.4923213862501724e+19,1.1579074534720326e+22,2.3774987506260074e+21,7.153918931763062e+17,1.0654821569489587e+20,1.5136050773355995e+21
63,3.41025525225422e+18,4.9463023792577135e+19,5.064744017737108e+18,1.7566644437303067e+20,1.7473100834346654e+20,8.397059083711116e+21,5.803517531948504e+18,2.054306022604398e+19,7.775225212453057e+19,1.4040824722141282e+19
64,6.926851135728575e+18,6.551731020946043e+17,1.785237849275783e+19,2.380221558924505e+19,2.673940100716417e+21,2.026846492236592e+21,2.5633078146966602e+20,2.0665093776163065e+20,8.146350423029624e+16,7.857467832048827e+21
65,3.4161895481739203e+19,1.304035713228942e+20,1.1863516327431368e+20,6.336626891064158e+19,3.35395672482506e+21,1.7323579534967565e+18,8.103751129628408e+19,1.0350789865394938e+19,1.0283865536727771e+18,2.3580869593540624e+17
66,1.930295388226983e+21,3.794129935029679e+20,3.089667582320747e+19,8.866410361823293e+17,2.1200535416338153e+20,3.2056248490912346e+19,4.562342454887541e+19,4.000633841311203e+22,5.835673873658228e+19,3.6011769348176527e+19
67,1.8224573278664637e+18,1.102655358532218e+20,5.779063457758953e+17,1.1151751115442684e+19,1.4539580090642824e+18,4.110909534855895e+17,7.9263676339318e+20,1.916339012464315e+22,5.682817908589037e+19,7.161412274173689e+18
68,2.4111096932376196e+21,1.8897406622329366e+22,1.1949277437358576e+23,5.5387418063479975e+22,2.1479572171189577e+20,1.4182696976841292e+20,2.056424088677303e+21,2.7879665955400555e+21,6.148568382364612e+18,2.7512470738208154e+19
69,1.7909855877616607e+18,1.966160450777583e+20,6.148148933907677e+19,9.891930801962707e+18,1.1458248621750022e+19,1.426944263243364e+21,4.518476491455099e+20,7.86403492596264e+19,1.241003236190168e+20,6.284720695469889e+19
70,7.34649515862349e+22,6.94679132371062e+21,1.011170511629536e+20,4.87352160366775e+20,7.220993974206425e+20,6.774446757395e+17,3.4610372340683453e+18,2.5304506021387106e+21,2.1806227775746097e+20,9.651730788411156e+19
71,7.638158117196947e+19,3.3774810275672525e+18,2.334233266594405e+19,3.374633191925529e+20,5.875648841726079e+21,6.344632854609141e+18,5.416814925222495e+20,3.09212210560233e+18,6.439113211467795e+20,4.9529533659493835e+19
72,7.488532740918428e+22,3.4612594969115044e+18,1.3142421750145137e+19,6.630950932370779e+20,1.1012940344225117e+20,3.3256353180294705e+19,8.298513885549687e+17,2.0521611670541984e+19,2.0104202175680176e+19,8.368547797052895e+18
73,2.2876485669297232e+20,1.6309386462509416e+21,3.965555721068937e+19,8.038425425372668e+19,2.263335564749502e+20,1.1329166349748382e+19,6.634051778889512e+18,7.302889012825734e+19,4.571155363406017e+19,8.578953066218636e+18
74,7.719301126596763e+20,4.329201801101416e+19,2.2268644347823212e+21,2.137253625637585e+20,9.641198656758044e+17,1.409512027710819e+21,1.1060106976434728e+22,7.923438156469034e+20,1.97478838512662e+21,1.0064310392361165e+19
75,4.687140644880864e+17,4.833666996057633e+18,7.526559641914773e+20,1.0070939080282783e+18,1.3484571178671173e+20,2.974867522685437e+19,4.597339580687492e+19,8.75307406057897e+19,1.9754874010880763e+20,6.97452237569488e+20
76,1.627842897317717e+19,1.181707620866041e+22,3.724118741130752e+19,1.1390329393988867e+18,3.009032153005721e+18,3.051811865980453e+20,3.90109186313759e+18,3.3499422708981637e+18,5.608659662636524e+20,5.0159696286134575e+19
77,2.6395600621524137e+18,2.8687228700135334e+19,1.2293204363165114e+17,7.110390853520818e+18,2.481564006182712e+20,9.296425921121765e+19,4.4798463581546984e+20,2.7682926189753684e+19,1.0654973426424098e+20,1.923701911096861e+20
78,1.8357202567231033e+19,8.684600887867072e+20,1.4481557099105422e+21,4.085042962207818e+18,3.2756390517659943e+19,1.9174206895494473e+20,4.724979048039436e+18,2.3520997834473804e+19,2.1701451631293817e+21,9.364675592953533e+19
79,2.582061249677362e+18,6.76590357390346e+20,1.4387405442904797e+19,1.918609744388078e+18,1.0384086736888091e+21,1.6156645325268245e+22,3.309057733218595e+20,1.9069735226459095e+19,6.423725552347261e+20,5.6174669674009444e+19
80,2.224672308127297e+19,4.800046956208664e+21,1.9046436461781667e+20,3.013618858411176e+18,6.290374073399293e+17,1.8299507593618823e+22,1.2161685493416636e+19,4.842316689522939e+18,3.6347885780333185e+21,7.378899240787702e+20
81,4.949634672103089e+19,2.6799713786783062e+20,2.701271255301565e+17,1.49956683839522e+20,2.2498307441142062e+18,2.317406070387443e+18,5.0443318799283776e+17,4.9751284010215145e+19,7.459817669027363e+18,1.535571518177514e+20
82,9.436601871972108e+17,8.696308743184528e+20,3.740952239847861e+20,6.284093750815882e+18,4.551288280151621e+20,2.604322179084789e+21,3.078868875644792e+22,6.488522918703623e+19,1.875315896306519e+19,1.9447134406366634e+19
83,4.918500531043031e+20,2.8961588731571765e+19,3.986104892891801e+19,2.413284825243423e+22,1.10059032997932e+20,2.8270739726840553e+19,9.900558198884891e+17,1.1222380238614934e+21,8.08417679388274e+19,5.307149050152931e+22
84,1.6703403186674142e+20,1.4459730452903432e+19,9.570394610298021e+19,4.452407484991551e+20,1.7402432696905194e+20,1.9421886703697562e+18,1.0856788017082417e+20,1.4310803219954944e+21,9.310415000992663e+19,9.333906698912477e+18
85,1.3860009002222215e+19,6.012227038686561e+21,4.975291025357647e+19,1.3587210086799753e+20,2.6098369179098934e+21,3.854387632137236e+19,2.7163762225336013e+19,1.1705849951600645e+20,2.3423532092321517e+20,3.4375386733003653e+18
86,1.178624908270006e+20,5.5302790762355565e+19,2.944530498871602e+19,5.644079734705488e+20,8.88689280566117e+19,1.063571057490772e+20,3.669144308989853e+20,7.166955103763041e+19,1.8807145755058886e+21,2.4892900933804448e+20
87,1.7243363981828337e+18,3.977186382781446e+22,1.4720133738787584e+20,1.3665939030053673e+19,1.6864421287855493e+21,3.3876480120104554e+22,2.636177371344342e+21,1.1639782262825575e+21,1.2215057834021269e+20,9.187422373912809e+19
88,1.8024399767543572e+20,3.782264033675886e+20,5.950566399120139e+22,1.159131337599693e+22,1.0626308649306905e+20,3.495697547649351e+19,2.2690570544216025e+20,5.144180930495549e+21,1.6112850510262378e+22,5.960528112682793e+18
89,1.235694441646125e+22,2.6354699106179308e+20,2.3570362048021786e+18,2.4524233738557865e+21,1.1589894134398116e+22,1.1621771166222987e+17,1.9768424802153297e+20,4.1907539908015935e+20,6.595078770284127e+20,2.2317379622968338e+18
90,2.2360051985669693e+19,2.430116918331318e+18,2.1350603095162745e+19,6.787274131242448e+20,3.901295165463926e+20,3.288542648452999e+21,2.516695809534442e+18,1.5015135940653676e+21,5.66657470931763e+18,1.343067618702212e+20
91,3.9181092742265314e+20,2.2089913221975634e+22,5.114524915186501e+17,8.373715915937402e+19,3.9232212109126195e+18,2.2963046880168366e+18,5.82212079347962e+20,1.607034234698267e+22,2.5919239994400637e+20,1.7264571017615372e+19
92,3.1221553702519296e+18,6.581676781920042e+19,7.652474606125376e+20,2.5524248109729023e+21,3.3002538284904845e+19,8.248394319762409e+19,7.549537735839909e+18,4.925622210882793e+17,1.6128341702598715e+20,2.0158842148734467e+18
93,6.159171172393103e+20,1.838795566974508e+20,3.589250613543446e+20,8.160861300144448e+20,3.6074370427219854e+21,2.851499376978576e+21,9.074304266983173e+19,4.2233960675468373e+21,9.911053309024662e+20,9.091151923928626e+19
94,1.7281202029938289e+19,4.711328841723459e+19,8.401805372810743e+18,3.679400180948854e+20,2.9300760940321427e+19,1.1013290773995009e+20,4.279947788062484e+17,1.537455625601358e+19,1.6163230782502244e+21,2.8791626606555156e+20
95,5.963158654323199e+18,1.0548523636739342e+19,5.049733738221829e+19,8.644101635612164e+21,6.370170697854004e+18,6.410859870702997e+19,2.1753523355210416e+19,8.081642519121935e+19,1.876823853996117e+19,4.492893330894198e+17
96,1.965479709640366e+20,6.943714365406921e+21,3.18549749390672e+20,2.9182064926176533e+20,7.882607224038977e+19,1.5014669185653953e+21,3.458288366690872e+21,1.4372841249643086e+21,3.4196293847454694e+18,9.803788376999997e+19
97,2.0212586470260026e+17,1.7693959582147366e+20,3.717169220640575e+20,3.338406613538474e+19,4.160485479306963e+19,2.0551600732475126e+17,1.563758327051527e+20,6.213714665080345e+20,2.961869691765413e+20,1.42310533559777e+18
98,2.1384557620689707e+21,2.725318904627972e+16,5.141077902626168e+18,1.4943359350874315e+20,2.5745697391616472e+20,1.7541571585531042e+20,1.4222622968215092e+20,3.843335651459002e+18,7.609079564338478e+16,1.3494022398230578e+21
99,4.310833769145201e+16,2.5360954975684978e+20,4.6663999811731776e+21,6.911539855662543e+18,5.927222696516331e+19,4.836244751787483e+19,3.3908571795965723e+19,3.628535514429083e+20,1.3078004272927586e+21,9.363740828476465e+20
100,4.3017892541899984e+20,2.3974231343103283e+19,1.1613343434603553e+21,6.590512880571576e+18,1.3289561791670735e+19,1.426155082835096e+23,2.1166803790839952e+21,1.0599354962049633e+18,9.958372100411408e+19,1.3460039844139932e+19
101,1.4470499473092663e+19,1.2150266232979309e+20,3.2176113067208566e+18,6.744161069085378e+20,4.878821799935582e+19,1.5180106410627608e+21,1.5344523361469825e+19,3.1011928487320404e+19,1.1806147055856753e+24,1.9432139599392174e+18
102,7.410514471185933e+20,5.024124805547699e+21,3.7889964146923416e+21,1.2548096099327845e+21,5.143080306132407e+19,7.31602174791728e+17,2.860373179254473e+18,1.7429260105297198e+21,1.2902303762331196e+23,9.276774695017652e+21
103,3.544340399614896e+22,3.106347131357213e+19,8.504334053711342e+20,5.689424235755956e+22,6.813898870129831e+21,6.474508559936473e+18,1.6193533067572314e+20,5.5132082079530975e+19,9.548256496676899e+18,1.1254700281176746e+20
104,1.1830856254116606e+19,7.705792817190638e+21,1.468360488215257e+21,2.892368244028447e+21,9.080825079246825e+22,6.714216104507164e+19,1.4115092810668681e+19,2.1945756784158674e+20,2.8505708641773567e+21,3.1991168111286994e+18
105,1.805546721511097e+20,2.6728892413882076e+20,1.3843313881921385e+20,1.3871044566138241e+20,2.6776233947919247e+20,5.4227779427657056e+20,1.1238964324057741e+21,6.91126845461182e+20,1.7426679142759835e+21,2.3484779718564664e+18
106,2.057097792835586e+20,1.5299276738577738e+17,8.959258677030603e+18,1.6002110539403958e+18,1.4132686359899182e+18,2.51099776018827e+19,5.70933026207088e+18,1.93604954206241e+21,1.0455585790584848e+19,2.5361941298416997e+21
107,1.7489217537798586e+20,1.240104528797209e+22,9.543824029701582e+21,8.967327358791359e+19,7.25014058465269e+20,3.1773528377141473e+19,1.231303490787859e+21,9.611726027709624e+20,3.5684984527775026e+20,1.4150382496022911e+20
108,9.167714071746154e+18,4.847487984740027e+20,2.057822254682059e+20,1.194311797596488e+22,4.335742953278767e+20,1.0224939944338887e+22,2.3486312842249614e+20,6.518827033519595e+16,7.68864684354097e+22,1.3301419512744899e+19
109,2.468323616981015e+22,1.2885748748157632e+24,2.832072690281265e+19,1.2935070020872642e+21,2.0588083569160246e+21,2.5462973756529917e+22,5.106385313819546e+17,5.193803514181844e+19,7.147909434072338e+20,1.8006599467368543e+20
110,6.437326585915923e+19,5.256205078321597e+18,1.365205936087007e+19,8.702459542826238e+19,2.8611442693803495e+19,4.694217025987029e+19,1.599712923709651e+20,7.311001045031566e+19,1.7763436431749112e+18,2.146154567971341e+19
111,2.7104609189728113e+21,3.3618688964977126e+18,8.632931573300228e+21,6.86865263228616e+19,8.30740190449889e+17,6.324774535934925e+21,3.943607969293325e+20,7.619511458890294e+17,9.842658953562117e+19,1.354143598653385e+21
112,5.249546071473981e+20,1.3451415937501528e+22,5.172118428948606e+19,8.699523612826828e+18,2.425090642059725e+20,2.472759130093151e+19,1.5746548471231077e+22,1.3633361679663636e+20,7.266084459670314e+19,9.272525766668724e+19
113,1.8570735884520407e+19,5.1208340685377765e+20,1.3497212256789899e+20,5.565848657837048e+18,2.7927441379863107e+18,1.4011227676123622e+18,1.2700621992089753e+21,2.344206544354702e+20,8724558623055208.0,4.03452028240492e+22
114,1.7638887465813213e+21,9.850718981501701e+17,2.3574038389932838e+20,1.1650271505684933e+18,9.512180838218444e+20,1.2117261987313875e+20,8.650428842153623e+20,2.124888681503654e+21,2.1427310414966384e+23,1.1513436198677178e+20
115,4.288272998779347e+19,9.114625971343285e+20,2.0648654066773084e+21,5.636809899313491e+21,1.3986784867641498e+21,3.6962941415830055e+20,9.56866052673921e+19,1.7377146290566997e+22,4.361165772866079e+21,6.894794457347424e+21
116,4.623158200927488e+21,8.965034723297443e+20,2.6774950117612116e+20,3.086170176830138e+20,4.729983284548351e+19,5.698013399095266e+21,5.271392625171309e+17,2.9647619175916984e+18,8.629982670383261e+18,1.1951592495587213e+19
117,1.8827203861807412e+20,1.0603792624603772e+22,5.533418382381807e+18,3.6548343252865444e+18,1.8442836028890924e+22,4.034404318559749e+22,1.8325255594266064e+21,9.876681877183779e+18,2.2978215584588215e+20,1.1621854964287591e+20
118,4.672995044887029e+21,5.882071910659677e+20,2.043819046721563e+20,4.944219912091645e+19,5.346362658381538e+18,1.0630837078914298e+21,1.2929484350621931e+17,3.64168099479195e+20,7.840928309362167e+19,1.0252942911564533e+20
119,4.9212053140582964e+20,2.803223896331296e+18,8.995328261864977e+19,6.395638698482349e+17,1.7782307696595765e+22,9.469107208301728e+20,1.4609445690174947e+20,3.151886345184091e+18,3.1543166713732133e+19,1.7481336244630307e+21
